Image;Emotion;Trajectory
awe_0041;P;<851.0,1144.0,0.0>,<851.0,1136.0,83.0>,<849.3236,1121.2362,92.0>,<847.3263,1099.5891,103.0>,<845.3377,1073.7281,114.0>,<845.0,1044.1163,125.0>,<845.6539,1010.8843,137.0>,<849.30286,976.2742,148.0>,<856.5451,933.63806,159.0>,<866.462,894.52637,170.0>,<878.12134,866.5088,181.0>,<886.4779,844.18567,192.0>,<894.4665,823.83374,203.0>,<903.4658,805.4519,214.0>,<912.4368,789.7356,225.0>,<919.8429,775.0857,237.0>,<926.8195,761.75446,248.0>,<932.8058,748.3884,259.0>,<938.83453,737.94244,270.0>,<943.83154,730.16846,281.0>,<949.84424,724.7705,292.0>,<953.19653,720.80347,303.0>,<954.0,720.0,305.0>,<954.0,720.0,311.0>,
disgust_0771;N;<730.0,1361.0,0.0>,<720.0,1349.0,40.0>,<706.4389,1314.1943,54.0>,<701.6263,1285.3842,65.0>,<699.3146,1260.3478,77.0>,<699.68207,1229.1328,88.0>,<702.03345,1204.1337,99.0>,<700.0,1179.0422,110.0>,<698.3397,1156.0765,121.0>,<697.6513,1130.5332,132.0>,<699.65094,1108.4904,143.0>,<701.6349,1087.0165,154.0>,<704.8554,1068.4338,165.0>,<709.26654,1050.3007,177.0>,<711.6238,1033.0098,188.0>,<714.2348,1016.0608,199.0>,<717.2077,1000.16907,210.0>,<722.60614,983.5448,221.0>,<727.20026,966.7991,232.0>,<731.19073,953.8325,243.0>,<735.2024,941.994,254.0>,<738.58887,930.4669,265.0>,<743.3112,917.95544,277.0>,<750.7413,904.937,288.0>,<757.74023,891.93945,299.0>,<764.694,879.61206,310.0>,<770.6875,867.625,321.0>,<776.68274,855.6345,332.0>,<783.2233,843.6649,343.0>,<789.1066,831.68005,354.0>,<794.64825,819.7035,365.0>,<800.6452,809.25806,377.0>,<806.1571,799.8429,388.0>,<814.1335,791.8666,399.0>,<822.093,784.4302,410.0>,<830.62714,776.8983,421.0>,<838.0,772.0,429.0>,<838.0,772.0,435.0>,
anger_0811;N;<777.0,1365.0,0.0>,<769.0,1359.0,47.0>,<759.8222,1348.8407,54.0>,<749.07544,1322.2263,65.0>,<735.7603,1292.4408,76.0>,<726.52356,1251.8754,87.0>,<720.9498,1215.6991,98.0>,<718.3005,1179.1085,109.0>,<718.0,1140.4056,120.0>,<720.3552,1100.7703,131.0>,<723.3243,1060.4196,143.0>,<727.6559,1022.50586,154.0>,<733.5688,992.36707,165.0>,<742.8878,962.5764,176.0>,<755.8397,937.32056,187.0>,<767.2362,913.5858,198.0>,<777.147,889.44727,209.0>,<787.8378,865.32434,220.0>,<798.1514,844.69714,231.0>,<807.46344,827.0731,243.0>,<814.85706,811.6669,254.0>,<822.48883,799.8889,265.0>,<830.48315,790.51685,276.0>,<837.4991,782.50085,287.0>,<845.4856,775.13586,298.0>,<852.0,772.0,306.0>,<852.0,772.0,311.0>,
fear_0674;N;<789.0,1330.0,0.0>,<777.0,1317.0,39.0>,<759.416,1284.03,54.0>,<743.50494,1256.5706,65.0>,<737.2359,1230.9436,77.0>,<740.9564,1199.8256,88.0>,<738.6549,1180.9471,99.0>,<737.33105,1161.9795,110.0>,<741.90283,1146.4467,121.0>,<741.3547,1132.4825,132.0>,<740.0,1115.15,143.0>,<749.19745,1095.3262,154.0>,<754.1153,1074.7177,165.0>,<754.5108,1054.7229,177.0>,<762.8641,1033.5437,188.0>,<765.2512,1010.7438,199.0>,<770.3864,990.4374,210.0>,<772.61145,967.2738,221.0>,<776.21436,947.5355,232.0>,<781.21124,930.15515,243.0>,<786.1929,915.82495,254.0>,<789.60547,900.7616,265.0>,<793.18994,888.43005,277.0>,<797.7843,877.4314,288.0>,<803.733,867.1117,299.0>,<808.78076,855.4385,310.0>,<813.163,844.511,321.0>,<817.1708,834.073,332.0>,<821.6916,825.30835,343.0>,<828.26654,819.8667,354.0>,<835.0,819.0,362.0>,<835.0,819.0,368.0>,
excitement_0239;P;<747.0,1239.0,0.0>,<742.0,1217.0,41.0>,<738.476,1187.4586,47.0>,<736.0,1137.1351,59.0>,<737.38666,1094.28,70.0>,<749.1012,1041.9116,81.0>,<757.73224,1004.07117,92.0>,<763.03485,970.14746,103.0>,<771.3379,940.32153,114.0>,<775.32245,909.7428,125.0>,<783.2679,887.1178,136.0>,<792.2603,865.8273,147.0>,<802.58136,845.5465,159.0>,<814.1277,827.6212,170.0>,<823.49677,815.2549,181.0>,<831.4875,804.2688,192.0>,<838.48444,794.5155,203.0>,<844.8014,784.9977,214.0>,<849.83203,775.94666,225.0>,<855.19196,766.6161,236.0>,<859.0,762.0,244.0>,<859.0,762.0,250.0>,
fear_0702;N;<634.0,1409.0,0.0>,<630.0,1390.0,41.0>,<620.3732,1355.7019,56.0>,<612.02527,1320.7112,68.0>,<607.48096,1286.5161,79.0>,<600.8972,1248.0841,90.0>,<598.6318,1219.7384,101.0>,<598.0,1191.3746,112.0>,<603.3453,1160.9104,123.0>,<607.36066,1130.7949,134.0>,<614.9871,1102.7268,145.0>,<617.97174,1074.4558,156.0>,<625.96,1045.8531,168.0>,<632.9694,1021.4353,179.0>,<640.10364,999.172,190.0>,<644.92487,978.22534,201.0>,<650.8502,961.68274,212.0>,<655.8873,946.5962,223.0>,<661.859,933.282,234.0>,<667.8274,919.7362,245.0>,<675.42474,906.3629,256.0>,<681.8103,894.3794,268.0>,<688.7374,884.6835,279.0>,<694.7949,875.0084,290.0>,<700.7532,866.6625,301.0>,<706.7749,860.2251,312.0>,<710.58374,854.8325,323.0>,<713.575,853.0,334.0>,<714.0,853.0,337.0>,<714.0,853.0,342.0>,
anger_0813;N;<800.0,1211.0,0.0>,<797.0,1199.0,49.0>,<792.6957,1167.1741,67.0>,<789.68915,1143.7902,78.0>,<784.6026,1119.6157,90.0>,<788.0,1099.8761,101.0>,<786.31256,1081.5002,112.0>,<786.0,1063.7067,123.0>,<787.70355,1049.4822,134.0>,<792.3807,1034.4773,145.0>,<794.0,1019.1465,156.0>,<794.0,1002.7705,168.0>,<795.38074,985.7866,179.0>,<800.387,967.7583,190.0>,<804.7034,950.6692,201.0>,<810.72144,932.87683,212.0>,<817.0875,914.43335,223.0>,<823.0377,899.24524,234.0>,<828.3882,885.83545,246.0>,<831.39044,874.5239,257.0>,<835.4089,864.4778,268.0>,<838.40045,854.4989,279.0>,<840.7087,843.45667,290.0>,<844.42194,832.44507,301.0>,<850.16595,823.11206,312.0>,<856.1473,815.13696,324.0>,<861.1571,806.4049,335.0>,<867.86536,799.85095,346.0>,<874.9143,794.54285,357.0>,<880.0,793.0,364.0>,<880.0,793.0,370.0>,
disgust_0897;N;<771.0,1305.0,0.0>,<770.0,1301.0,94.0>,<767.6036,1294.2072,103.0>,<765.3,1283.7999,115.0>,<763.30786,1270.847,126.0>,<761.3174,1256.5392,137.0>,<759.31744,1242.222,148.0>,<758.0,1227.6555,159.0>,<756.34204,1212.7365,170.0>,<755.0,1199.0219,181.0>,<755.66284,1188.6859,192.0>,<756.6451,1177.7744,203.0>,<758.66406,1169.3438,215.0>,<759.0,1159.8329,226.0>,<759.0,1149.7775,237.0>,<759.0,1139.1432,248.0>,<760.0,1127.764,259.0>,<760.6229,1116.2626,270.0>,<761.0,1104.2137,281.0>,<761.6266,1090.6139,292.0>,<762.64056,1077.1566,303.0>,<763.6267,1063.6129,315.0>,<764.62286,1050.2628,326.0>,<765.628,1037.6039,337.0>,<767.62225,1025.2666,348.0>,<770.20966,1013.371,359.0>,<773.22485,1001.32544,370.0>,<776.2171,988.74023,381.0>,<779.2043,976.3872,392.0>,<783.21045,964.36865,403.0>,<788.1994,954.00146,415.0>,<792.2012,943.59766,426.0>,<795.5894,934.05286,437.0>,<799.18646,925.0338,448.0>,<802.1913,915.02185,459.0>,<807.1529,906.1178,470.0>,<811.155,897.68994,481.0>,<815.1514,890.69714,492.0>,<817.5726,884.28235,503.0>,<819.5669,878.8662,515.0>,<821.5643,873.30725,526.0>,<824.1291,868.87085,537.0>,<827.1368,863.86316,548.0>,<829.5569,859.8862,559.0>,<832.1031,855.34534,570.0>,<835.0825,850.9175,581.0>,<837.0,847.8877,592.0>,<838.54846,845.45154,603.0>,<839.7739,844.2261,615.0>,<841.539,844.0,626.0>,<843.5493,843.5493,637.0>,<845.0,844.0,645.0>,<845.0,844.0,650.0>,
awe_0870;P;<776.0,1250.0,0.0>,<775.0,1247.0,52.0>,<775.0,1243.435,59.0>,<775.0,1239.6556,70.0>,<775.0,1234.068,81.0>,<774.0,1226.3478,92.0>,<772.3325,1217.6626,103.0>,<767.7019,1207.1058,114.0>,<766.65656,1193.4039,126.0>,<768.0,1178.3757,137.0>,<769.0,1166.7086,148.0>,<768.3409,1156.0452,159.0>,<768.0,1145.745,170.0>,<767.0,1136.3889,181.0>,<767.0,1127.0005,192.0>,<767.0,1116.8514,203.0>,<767.0,1105.9109,214.0>,<767.0,1094.2749,226.0>,<768.0,1083.1929,237.0>,<768.0,1071.449,248.0>,<769.59357,1058.4385,259.0>,<771.0,1044.1786,270.0>,<772.0,1029.8967,281.0>,<773.58356,1016.9153,292.0>,<775.5335,1004.2654,303.0>,<777.5687,990.01904,314.0>,<780.14404,975.99585,326.0>,<784.1236,961.5056,337.0>,<788.1068,947.1261,348.0>,<792.68414,934.6317,359.0>,<797.0944,923.26404,370.0>,<799.5442,911.735,381.0>,<802.04767,901.38086,392.0>,<805.6122,892.85034,403.0>,<811.00085,886.49866,414.0>,<814.04956,880.95044,426.0>,<817.45886,875.62354,437.0>,<818.5091,870.4728,448.0>,<820.0,865.9995,459.0>,<820.50183,862.49817,470.0>,<822.0,859.5116,481.0>,<822.0,856.03625,492.0>,<823.0,853.1688,503.0>,<823.0,850.521,514.0>,<824.0,848.5326,526.0>,<824.0,846.0537,537.0>,<825.0,843.5431,548.0>,<822.09,840.08997,559.0>,<824.893,842.89294,570.0>,<826.0,844.0,573.0>,<826.0,844.0,579.0>,
fear_0713;N;<864.0,1259.0,0.0>,<854.0,1245.0,47.0>,<845.1071,1228.9165,53.0>,<836.14056,1205.4218,64.0>,<831.69196,1174.5356,75.0>,<830.0,1140.8757,86.0>,<830.67725,1115.8729,98.0>,<828.9742,1091.2213,109.0>,<827.03217,1062.5165,120.0>,<834.0437,1036.1439,131.0>,<831.63806,1007.4663,142.0>,<837.0569,983.1437,153.0>,<842.70764,962.23096,164.0>,<848.0392,942.88245,176.0>,<852.35,923.5753,187.0>,<857.0165,905.95044,198.0>,<862.0412,892.27844,209.0>,<868.03314,883.2892,220.0>,<872.3422,873.64453,231.0>,<876.3434,863.6415,242.0>,<879.6709,854.6454,253.0>,<881.6751,845.29956,265.0>,<884.6647,836.3413,276.0>,<886.67194,829.31213,287.0>,<891.94904,822.40137,298.0>,<896.9863,816.0137,309.0>,<901.3147,811.02795,320.0>,<905.30884,805.69116,331.0>,<908.6594,800.68115,343.0>,<911.66425,796.6715,354.0>,<914.65765,792.6847,365.0>,<917.6691,789.33093,376.0>,<920.6717,787.32837,387.0>,<924.0,786.0,395.0>,<924.0,786.0,400.0>,
disgust_0884;N;<784.0,1285.0,0.0>,<776.0,1270.0,40.0>,<769.42993,1252.9098,47.0>,<764.64,1233.3801,58.0>,<764.32947,1219.9655,69.0>,<763.0,1201.9713,80.0>,<763.3435,1181.1223,91.0>,<763.0,1156.4032,103.0>,<763.66895,1128.966,114.0>,<766.28235,1099.3822,125.0>,<768.655,1067.5192,136.0>,<772.2789,1035.769,147.0>,<778.52734,999.9951,158.0>,<787.748,962.13135,169.0>,<802.6725,927.17615,180.0>,<819.3346,904.80774,191.0>,<822.0,901.0,193.0>,<822.0,901.0,199.0>,
amusement_0527;P;<769.0,1352.0,0.0>,<759.0,1310.0,41.0>,<747.97217,1230.1885,59.0>,<745.295,1167.3893,70.0>,<748.1164,1088.8976,81.0>,<757.9006,1014.7969,92.0>,<774.4718,960.5327,104.0>,<794.5247,911.95056,115.0>,<819.7608,879.8871,126.0>,<823.0,876.0,128.0>,<823.0,876.0,133.0>,
amusement_0545;P;<774.0,1399.0,0.0>,<761.0,1386.0,41.0>,<739.58374,1346.4594,55.0>,<727.0703,1305.0953,67.0>,<725.32196,1268.7275,78.0>,<724.32733,1224.5648,89.0>,<724.66846,1192.9735,100.0>,<726.66516,1159.0276,111.0>,<730.3146,1124.8259,122.0>,<736.57666,1088.2314,133.0>,<742.96423,1051.5598,144.0>,<757.48724,1018.0255,155.0>,<770.8284,989.42896,167.0>,<781.1773,961.10364,178.0>,<791.778,937.444,189.0>,<802.156,916.05676,200.0>,<812.1301,895.73975,211.0>,<823.07764,878.0758,222.0>,<832.3855,861.82544,233.0>,<842.025,847.37,244.0>,<850.3573,835.05334,255.0>,<858.3511,824.6489,267.0>,<865.7542,815.0763,278.0>,<872.71906,804.5619,289.0>,<881.88586,795.6913,300.0>,<894.03564,790.42346,311.0>,<897.0,790.0,313.0>,<897.0,790.0,319.0>,
fear_0962;N;<761.0,1381.0,0.0>,<751.0,1360.0,55.0>,<736.21234,1315.6919,67.0>,<729.95386,1283.6769,78.0>,<727.3423,1242.9061,89.0>,<728.6605,1203.7894,100.0>,<729.0,1167.084,111.0>,<737.2479,1132.8481,123.0>,<747.23486,1097.0015,134.0>,<756.51154,1062.6879,145.0>,<767.5766,1032.2703,156.0>,<775.55414,1009.9762,167.0>,<783.5036,987.115,178.0>,<791.4726,966.8186,189.0>,<798.457,948.85754,200.0>,<806.03485,930.53723,211.0>,<815.00464,914.1925,223.0>,<823.3698,899.8528,234.0>,<830.7625,887.475,245.0>,<836.735,876.1084,256.0>,<843.73096,866.1151,267.0>,<849.718,856.70935,278.0>,<854.7096,849.7206,289.0>,<859.7076,842.72327,300.0>,<864.7059,835.72546,311.0>,<870.11487,827.77026,323.0>,<878.32074,821.3396,334.0>,<881.0,820.0,336.0>,<881.0,820.0,342.0>,
excitement_0249;P;<786.0,1330.0,0.0>,<786.0,1323.0,77.0>,<783.31226,1298.059,92.0>,<783.0,1262.3665,103.0>,<780.65375,1216.845,114.0>,<781.0,1169.5448,125.0>,<782.3451,1118.5134,137.0>,<785.64557,1070.5063,148.0>,<795.9543,1031.1371,159.0>,<808.199,1000.68274,170.0>,<815.54663,975.3601,181.0>,<823.552,951.98193,192.0>,<830.90015,930.66626,203.0>,<839.07074,910.8585,214.0>,<849.1872,890.61646,225.0>,<862.611,872.1853,237.0>,<875.59607,856.2052,248.0>,<885.9477,841.8733,259.0>,<894.32074,828.5189,270.0>,<902.3479,817.0652,281.0>,<909.34,807.6599,292.0>,<915.70264,800.29736,303.0>,<921.6944,794.30566,314.0>,<927.68585,788.3141,325.0>,<933.6757,782.32434,337.0>,<939.66595,776.3341,348.0>,<945.64856,770.901,359.0>,<950.6498,766.3502,370.0>,<954.0,764.0,378.0>,<954.0,764.0,383.0>,
fear_0929;N;<806.0,1375.0,0.0>,<802.0,1373.0,57.0>,<794.29645,1367.9723,70.0>,<786.32477,1360.3247,81.0>,<779.0246,1351.7076,92.0>,<772.01764,1342.0353,103.0>,<766.6944,1331.736,114.0>,<760.08405,1320.1681,125.0>,<756.35895,1304.8715,136.0>,<753.721,1287.2446,147.0>,<748.44635,1266.9775,158.0>,<740.4489,1244.3468,170.0>,<736.7612,1220.5675,181.0>,<733.7574,1196.5444,192.0>,<731.3917,1173.7004,203.0>,<730.0,1149.6537,214.0>,<731.0,1127.2188,225.0>,<733.2313,1106.8433,236.0>,<738.60065,1089.1946,247.0>,<740.0,1071.7109,258.0>,<743.14703,1053.265,270.0>,<750.29974,1034.8256,281.0>,<758.3199,1015.78015,292.0>,<766.2762,996.3096,303.0>,<772.69904,976.33655,314.0>,<779.2303,956.98193,325.0>,<785.6794,941.0814,336.0>,<792.65643,927.1349,347.0>,<798.08673,915.2832,358.0>,<802.1167,904.20825,370.0>,<805.103,895.79395,381.0>,<809.078,887.844,392.0>,<813.0584,880.41235,403.0>,<817.05615,875.4158,414.0>,<819.51953,871.48047,425.0>,<821.51276,867.9745,436.0>,<823.51666,864.4834,447.0>,<825.5063,861.4938,458.0>,<829.0069,859.4966,470.0>,<831.4919,858.0,481.0>,<832.0,858.0,483.0>,<832.0,858.0,489.0>,
awe_0848;P;<739.0,1315.0,0.0>,<734.0,1306.0,47.0>,<731.6011,1281.8059,59.0>,<729.30493,1260.5737,70.0>,<729.0,1226.7124,82.0>,<728.0,1195.5216,93.0>,<731.35205,1159.8318,104.0>,<737.0115,1122.5903,115.0>,<746.6582,1085.494,126.0>,<756.2569,1051.4862,137.0>,<770.9791,1022.0834,148.0>,<777.96387,998.7992,159.0>,<783.9233,976.589,170.0>,<792.8822,955.52966,182.0>,<806.03546,935.0763,193.0>,<818.0,921.0,200.0>,<818.0,921.0,206.0>,
fear_0954;N;<728.0,1448.0,0.0>,<726.0,1446.0,66.0>,<722.6885,1439.7212,78.0>,<719.68427,1428.395,89.0>,<714.99884,1411.9966,100.0>,<706.00446,1379.0156,111.0>,<695.09247,1337.3237,122.0>,<683.76263,1297.698,133.0>,<677.0444,1260.2661,144.0>,<674.63947,1226.129,156.0>,<679.0,1198.3905,167.0>,<679.6403,1173.6761,178.0>,<685.4676,1152.2141,189.0>,<692.5207,1131.6982,200.0>,<698.26056,1111.0671,211.0>,<702.24286,1090.7858,222.0>,<707.81305,1067.7477,233.0>,<713.2267,1042.6398,244.0>,<719.7959,1018.41504,256.0>,<727.40045,996.3987,267.0>,<735.9323,976.7218,278.0>,<745.989,958.2175,289.0>,<755.33673,942.32654,300.0>,<763.9496,927.28064,311.0>,<771.751,912.9143,322.0>,<778.7434,899.5132,333.0>,<785.28546,888.5718,344.0>,<791.71027,877.14954,356.0>,<799.2751,868.1561,367.0>,<806.29004,858.70996,378.0>,<814.2716,851.29626,389.0>,<820.67975,844.3202,400.0>,<826.6884,838.3115,411.0>,<831.6799,832.3202,422.0>,<836.6474,826.35266,433.0>,<841.6063,821.3937,444.0>,<846.54083,816.91833,456.0>,<850.6502,814.44995,467.0>,<855.0,815.0,475.0>,<855.0,815.0,480.0>,
excitement_0258;P;<708.0,1413.0,0.0>,<697.0,1398.0,47.0>,<678.5512,1359.7401,59.0>,<672.9212,1322.9838,70.0>,<670.6016,1266.7482,81.0>,<675.0256,1196.7444,92.0>,<679.96814,1133.1754,103.0>,<695.96045,1069.4695,114.0>,<710.6098,1012.5364,126.0>,<723.057,964.54004,137.0>,<732.0,943.0,144.0>,<732.0,943.0,150.0>,
anger_0803;N;<684.0,1569.0,0.0>,<677.0,1533.0,49.0>,<672.6178,1481.8406,61.0>,<669.45404,1434.4916,72.0>,<671.32605,1363.479,83.0>,<681.2861,1281.0541,94.0>,<692.9947,1217.0266,106.0>,<705.464,1159.8687,117.0>,<722.22296,1101.6143,128.0>,<741.7965,1053.1189,139.0>,<759.77856,1013.8008,150.0>,<778.07513,977.0657,161.0>,<798.3063,943.9099,172.0>,<818.863,915.2654,183.0>,<839.72955,891.2705,195.0>,<861.76404,872.0807,206.0>,<883.1021,857.7285,217.0>,<904.9236,846.4823,228.0>,<909.0,845.0,230.0>,<909.0,845.0,235.0>,
amusement_0517;P;<663.0,1442.0,0.0>,<665.0,1395.0,32.0>,<671.0131,1346.5706,44.0>,<681.458,1272.5736,56.0>,<695.3191,1185.0801,67.0>,<714.2734,1105.5349,78.0>,<739.09296,1052.4885,89.0>,<759.8065,1009.02563,100.0>,<777.754,970.51807,111.0>,<798.4701,938.8135,122.0>,<816.3729,914.2838,134.0>,<835.26044,897.37976,145.0>,<839.0,895.0,147.0>,<839.0,895.0,152.0>,
awe_0592;P;<734.0,1545.0,0.0>,<729.0,1523.0,49.0>,<723.35913,1485.3774,56.0>,<717.4116,1423.92,67.0>,<719.38513,1371.0671,78.0>,<727.78455,1299.6351,89.0>,<737.40234,1230.1835,100.0>,<745.06647,1175.0908,111.0>,<753.3764,1127.4686,122.0>,<761.645,1082.1138,133.0>,<773.9706,1044.3856,144.0>,<786.5489,1016.3533,156.0>,<794.5015,995.3716,167.0>,<802.50226,979.621,178.0>,<809.4436,966.3346,189.0>,<816.82623,954.34753,200.0>,<823.4377,943.9529,211.0>,<829.78503,933.0249,222.0>,<836.39264,923.6074,233.0>,<844.0,921.0,241.0>,<844.0,921.0,246.0>,
excitement_0223;P;<717.0,1617.0,0.0>,<714.0,1602.0,71.0>,<707.34,1560.7153,81.0>,<702.33203,1496.2881,92.0>,<704.02765,1422.6406,103.0>,<712.042,1340.0322,114.0>,<730.25385,1252.5946,125.0>,<750.8616,1195.7179,136.0>,<771.2641,1149.219,147.0>,<795.1901,1110.2898,158.0>,<800.0,1104.0,160.0>,<800.0,1104.0,166.0>,
fear_0928;N;<705.0,1627.0,0.0>,<705.0,1619.0,58.0>,<705.0,1603.4557,67.0>,<707.32043,1565.4946,78.0>,<715.4999,1492.701,89.0>,<727.9021,1405.7864,100.0>,<746.88477,1310.5111,111.0>,<777.28253,1213.5627,123.0>,<797.24426,1154.3486,134.0>,<813.37695,1112.5576,145.0>,<831.17194,1077.0276,156.0>,<847.3688,1048.6046,167.0>,<864.55225,1021.67163,178.0>,<882.2385,1000.06836,189.0>,<893.0,988.0,197.0>,<893.0,988.0,202.0>,
anger_0815;N;<680.0,1654.0,0.0>,<678.0,1635.0,60.0>,<676.8073,1612.339,67.0>,<677.0,1578.3541,78.0>,<677.6689,1525.2709,89.0>,<680.6806,1462.5399,100.0>,<685.0476,1400.5714,111.0>,<692.6764,1346.9342,122.0>,<710.6066,1293.4835,134.0>,<724.29193,1252.8323,145.0>,<734.92413,1218.5358,156.0>,<743.5702,1188.3618,167.0>,<753.1826,1162.3617,178.0>,<761.5317,1138.4049,189.0>,<768.83655,1115.6538,200.0>,<774.8672,1094.7761,211.0>,<781.4729,1075.4359,222.0>,<788.8292,1059.1221,234.0>,<796.4469,1043.7179,245.0>,<802.7308,1030.5385,256.0>,<809.26495,1017.60254,267.0>,<816.7249,1007.1251,278.0>,<823.70593,996.15674,289.0>,<831.2785,986.15186,300.0>,<839.28735,977.71265,311.0>,<848.80493,972.317,322.0>,<851.0,971.0,325.0>,<851.0,971.0,330.0>,
disgust_0899;N;<673.0,1643.0,0.0>,<668.0,1627.0,46.0>,<661.865,1589.7177,59.0>,<657.929,1553.5414,70.0>,<656.0,1527.5,75.0>,<670.76044,1403.8162,103.0>,<698.43353,1259.8324,125.0>,<732.2454,1165.6837,148.0>,<752.5605,1119.7056,170.0>,<765.9263,1102.7032,192.0>,<772.5402,1098.82,214.0>,<777.05225,1094.9825,236.0>,<781.1719,1089.4844,259.0>,<781.0,1090.0,270.0>,
awe_0859;P;<661.0,1579.0,0.0>,<658.0,1561.0,59.0>,<653.3174,1517.1741,68.0>,<651.1058,1451.0963,79.0>,<656.3286,1372.132,90.0>,<667.49304,1287.9667,101.0>,<684.1999,1212.2449,112.0>,<698.90155,1158.3845,124.0>,<715.1312,1110.8358,135.0>,<731.0549,1075.0488,146.0>,<743.4217,1051.8674,157.0>,<757.35785,1031.9685,168.0>,<772.2583,1017.38696,179.0>,<785.7906,1007.2095,190.0>,<790.0,1003.0,195.0>,<790.0,1003.0,201.0>,
fear_0947;N;<695.0,1658.0,0.0>,<694.0,1644.0,74.0>,<689.31256,1568.6274,89.0>,<689.31555,1494.0314,100.0>,<698.6531,1406.0872,111.0>,<716.5857,1317.6816,122.0>,<730.86786,1262.1732,134.0>,<744.3412,1224.0773,145.0>,<757.72766,1194.9235,156.0>,<772.4662,1172.9265,167.0>,<786.6959,1155.456,178.0>,<795.1797,1141.1855,189.0>,<801.82245,1128.3551,200.0>,<806.74725,1117.6703,211.0>,<811.1869,1109.6262,222.0>,<817.0,1106.0,230.0>,<817.0,1106.0,236.0>,
awe_0583;P;<661.0,1640.0,0.0>,<659.0,1639.0,71.0>,<656.3278,1631.6392,81.0>,<653.3266,1617.9391,92.0>,<651.32025,1579.6469,103.0>,<652.3512,1516.354,114.0>,<661.752,1432.7726,125.0>,<679.4298,1331.5262,136.0>,<709.91864,1224.3174,147.0>,<739.23474,1150.8098,158.0>,<767.94226,1107.614,170.0>,<789.28864,1080.0354,181.0>,<802.04114,1061.9589,192.0>,<815.0,1054.0,201.0>,<815.0,1054.0,207.0>,
anger_0820;N;<671.0,1589.0,0.0>,<670.0,1558.0,72.0>,<672.37616,1528.6144,81.0>,<676.34985,1490.5015,92.0>,<681.02167,1447.5004,103.0>,<688.9558,1401.8359,114.0>,<704.5913,1356.5378,125.0>,<716.2002,1320.1194,137.0>,<726.793,1284.2532,148.0>,<736.1638,1254.774,159.0>,<748.1546,1230.23,170.0>,<761.06213,1210.4882,181.0>,<772.0416,1193.7417,192.0>,<782.53815,1178.8722,203.0>,<793.32666,1164.9283,214.0>,<802.9089,1151.5094,225.0>,<809.6405,1136.6252,237.0>,<816.2424,1122.6365,248.0>,<824.8611,1110.1389,259.0>,<833.7293,1100.8165,270.0>,<842.6128,1091.9098,281.0>,<854.20416,1083.8639,292.0>,<868.2679,1074.8661,303.0>,<872.0,1073.0,306.0>,<872.0,1073.0,311.0>,
excitement_0235;P;<651.0,1468.0,0.0>,<651.0,1462.0,83.0>,<653.29913,1450.453,92.0>,<656.30096,1435.796,103.0>,<660.30524,1419.7789,114.0>,<664.33105,1403.0103,126.0>,<668.3096,1386.7618,137.0>,<671.2992,1372.4529,148.0>,<674.306,1359.0819,159.0>,<677.2526,1348.2422,170.0>,<680.2717,1338.4565,181.0>,<682.62585,1331.4965,192.0>,<687.8492,1326.1508,203.0>,<693.23785,1320.7622,214.0>,<695.60876,1315.7825,226.0>,<697.60345,1310.7931,237.0>,<699.0,1306.8018,248.0>,<700.0,1302.8258,259.0>,<702.1665,1298.8335,270.0>,<704.5971,1294.8058,281.0>,<707.5881,1290.2358,292.0>,<711.1571,1284.2644,303.0>,<715.72797,1278.272,314.0>,<720.69714,1270.1715,326.0>,<726.2538,1260.1827,337.0>,<734.282,1251.1475,348.0>,<742.21814,1240.2273,359.0>,<749.1569,1227.2255,370.0>,<756.65295,1213.2859,381.0>,<765.1441,1198.7118,392.0>,<773.11664,1183.7667,403.0>,<781.6104,1168.8234,414.0>,<792.5162,1154.4838,426.0>,<805.4643,1142.5255,437.0>,<817.8311,1131.6407,448.0>,<832.0399,1123.48,459.0>,<845.0,1118.0,468.0>,<845.0,1118.0,474.0>,
fear_0973;N;<693.0,1551.0,0.0>,<692.0,1547.0,66.0>,<690.0,1535.2866,81.0>,<689.0,1525.6552,92.0>,<688.0,1514.0116,103.0>,<687.309,1500.854,114.0>,<687.0,1486.1527,125.0>,<687.0,1468.9467,136.0>,<687.0,1449.2793,147.0>,<687.0,1428.5837,159.0>,<687.6627,1409.3727,170.0>,<689.0,1393.412,181.0>,<690.6615,1380.3695,192.0>,<692.6499,1368.7505,203.0>,<693.6543,1357.7284,214.0>,<696.28937,1346.7766,225.0>,<702.8927,1335.2146,236.0>,<708.87305,1322.6295,247.0>,<714.25757,1307.5984,259.0>,<717.2278,1292.7028,270.0>,<720.61346,1279.7058,281.0>,<723.60376,1266.7737,292.0>,<726.5993,1252.2054,303.0>,<729.6049,1237.1608,314.0>,<732.793,1221.2185,325.0>,<741.9323,1205.3083,336.0>,<753.41656,1189.4446,347.0>,<767.9076,1175.183,359.0>,<772.0,1172.0,361.0>,<772.0,1172.0,367.0>,
